Origin,Treat,Mass,LocMax
non-roadside,noisy,0.084,7193
non-roadside,noisy,0.084,7239
non-roadside,noisy,0.084,7358
non-roadside,noisy,0.086,8958
non-roadside,noisy,0.086,8452
non-roadside,noisy,0.086,8958
non-roadside,noisy,0.087,7479
non-roadside,noisy,0.087,7137
non-roadside,noisy,0.087,7185
non-roadside,noisy,0.085,7536
non-roadside,noisy,0.085,6892
non-roadside,noisy,0.085,6986
non-roadside,noisy,0.102,7019
non-roadside,noisy,0.102,7174
non-roadside,noisy,0.102,7302
non-roadside,noisy,0.114,6370
non-roadside,noisy,0.114,6380
non-roadside,noisy,0.114,6354
non-roadside,noisy,0.114,6380
non-roadside,noisy,0.094,6489
non-roadside,noisy,0.094,6447
non-roadside,noisy,0.094,6560
non-roadside,quiet,0.087,7004
non-roadside,quiet,0.087,6893
non-roadside,quiet,0.087,6960
non-roadside,quiet,0.091,6075
non-roadside,quiet,0.091,6239
non-roadside,quiet,0.091,6482
non-roadside,quiet,0.091,6233
non-roadside,quiet,0.09,6742
non-roadside,quiet,0.09,6395
non-roadside,quiet,0.09,6229
non-roadside,quiet,0.1,7111
non-roadside,quiet,0.1,6883
non-roadside,quiet,0.1,6819
non-roadside,quiet,0.097,6613
non-roadside,quiet,0.097,6628
non-roadside,quiet,0.097,6410
non-roadside,quiet,0.099,7602
non-roadside,quiet,0.099,7472
non-roadside,quiet,0.099,7760
non-roadside,quiet,0.083,6841
non-roadside,quiet,0.083,6725
non-roadside,quiet,0.083,6994
non-roadside,quiet,0.081,7058
non-roadside,quiet,0.081,7010
non-roadside,quiet,0.081,6914
roadside,noisy,0.107,7562
roadside,noisy,0.107,7485
roadside,noisy,0.107,7606
roadside,noisy,0.098,6849
roadside,noisy,0.098,6809
roadside,noisy,0.098,6894
roadside,noisy,0.097,7082
roadside,noisy,0.097,6651
roadside,noisy,0.097,7028
roadside,noisy,0.109,6925
roadside,noisy,0.109,6751
roadside,noisy,0.109,6796
roadside,noisy,0.092,7115
roadside,noisy,0.092,7074
roadside,noisy,0.092,7067
roadside,noisy,0.091,8992
roadside,noisy,0.091,9026
roadside,noisy,0.091,8860
roadside,noisy,0.115,6830
roadside,noisy,0.115,6204
roadside,noisy,0.115,7064
roadside,noisy,0.091,6640
roadside,noisy,0.091,6599
roadside,noisy,0.091,6618
roadside,noisy,0.109,6987
roadside,noisy,0.109,6743
roadside,noisy,0.109,6936
roadside,noisy,0.084,6799
roadside,noisy,0.084,6703
roadside,noisy,0.084,6764
roadside,quiet,0.103,6874
roadside,quiet,0.103,6397
roadside,quiet,0.087,7104
roadside,quiet,0.087,7241
roadside,quiet,0.087,7092
roadside,quiet,0.099,8810
roadside,quiet,0.099,8179
roadside,quiet,0.099,8110
roadside,quiet,0.117,5440
roadside,quiet,0.117,5568
roadside,quiet,0.101,6998
roadside,quiet,0.101,7009
roadside,quiet,0.117,5436
roadside,quiet,0.104,6862
roadside,quiet,0.104,6819
roadside,quiet,0.104,6943
roadside,quiet,0.093,7015
roadside,quiet,0.093,6937
roadside,quiet,0.093,6748
non-roadside,noisy,0.095,6584
non-roadside,noisy,0.095,6162
non-roadside,noisy,0.095,6876
non-roadside,noisy,0.082,7200
non-roadside,noisy,0.082,7218
non-roadside,noisy,0.091,7287
non-roadside,noisy,0.091,7191
non-roadside,noisy,0.091,6788
non-roadside,noisy,0.1,7779
non-roadside,noisy,0.1,7047
non-roadside,noisy,0.1,7830
non-roadside,noisy,0.095,6179
non-roadside,noisy,0.095,6154
non-roadside,noisy,0.095,6140
non-roadside,noisy,0.103,7186
non-roadside,noisy,0.103,6984
non-roadside,quiet,0.101,7457
non-roadside,quiet,0.101,7445
non-roadside,quiet,0.101,8295
non-roadside,quiet,0.101,7369
non-roadside,quiet,0.086,6517
non-roadside,quiet,0.086,6687
non-roadside,quiet,0.086,6478
non-roadside,quiet,0.099,6904
non-roadside,quiet,0.099,6980
non-roadside,quiet,0.099,7068
non-roadside,quiet,0.114,6203
non-roadside,quiet,0.114,6089
non-roadside,quiet,0.114,6065
non-roadside,quiet,0.114,6246
non-roadside,quiet,0.102,6726
non-roadside,quiet,0.102,6279
non-roadside,quiet,0.106,6940
non-roadside,quiet,0.106,6158
non-roadside,quiet,0.098,6519
non-roadside,quiet,0.098,6808
non-roadside,quiet,0.098,6864
non-roadside,quiet,0.112,7031
non-roadside,quiet,0.112,7369
non-roadside,quiet,0.112,6842
roadside,noisy,0.094,7148
roadside,noisy,0.094,7430
roadside,noisy,0.094,7221
roadside,noisy,0.098,9081
roadside,noisy,0.098,9075
roadside,noisy,0.098,8979
roadside,noisy,0.098,8863
roadside,noisy,0.087,6915
roadside,noisy,0.087,6962
roadside,noisy,0.087,6986
roadside,noisy,0.093,11042
roadside,noisy,0.093,11020
roadside,noisy,0.093,8694
roadside,noisy,0.093,9092
roadside,noisy,0.1,7102
roadside,noisy,0.1,6819
roadside,noisy,0.1,7265
roadside,noisy,0.1,7142
roadside,noisy,0.109,6762
roadside,noisy,0.109,6813
roadside,noisy,0.109,6722
roadside,noisy,0.094,7592
roadside,noisy,0.094,7342
roadside,noisy,0.094,7661
roadside,noisy,0.079,7679
roadside,noisy,0.079,7794
roadside,noisy,0.079,7317
roadside,noisy,0.079,7285
roadside,noisy,0.093,7931
roadside,noisy,0.093,7911
roadside,noisy,0.093,7238
roadside,noisy,0.088,7227
roadside,noisy,0.088,6687
roadside,noisy,0.088,6798
roadside,quiet,0.108,6701
roadside,quiet,0.108,7116
roadside,quiet,0.108,7424
roadside,quiet,0.095,7014
roadside,quiet,0.095,7112
roadside,quiet,0.095,7059
roadside,quiet,0.097,7476
roadside,quiet,0.097,7283
roadside,quiet,0.097,7454
roadside,quiet,0.078,7285
roadside,quiet,0.078,7626
roadside,quiet,0.078,7580
roadside,quiet,0.088,8014
roadside,quiet,0.088,7097
roadside,quiet,0.088,7217
roadside,quiet,0.092,7123
roadside,quiet,0.092,7143
roadside,quiet,0.092,6994
roadside,quiet,0.077,7487
roadside,quiet,0.077,7222
roadside,quiet,0.077,7401
roadside,quiet,0.106,6810
