Site,Individual,Origin,Treatment,LocMax
Asch,AS_Lei_lei_0001,non-roadside,quiet,7004
Asch,AS_Lei_lei_0001,non-roadside,quiet,6893
Asch,AS_Lei_lei_0001,non-roadside,quiet,6960
Asch,AS_Lei_lei_0002,non-roadside,quiet,6075
Asch,AS_Lei_lei_0002,non-roadside,quiet,6239
Asch,AS_Lei_lei_0002,non-roadside,quiet,6482
Asch,AS_Lei_lei_0002,non-roadside,quiet,6233
Asch,AS_Lei_lei_0003,non-roadside,quiet,6742
Asch,AS_Lei_lei_0003,non-roadside,quiet,6395
Asch,AS_Lei_lei_0003,non-roadside,quiet,6229
Asch,AS_Lei_lei_0004,non-roadside,quiet,7111
Asch,AS_Lei_lei_0004,non-roadside,quiet,6883
Asch,AS_Lei_lei_0004,non-roadside,quiet,6819
Asch,AS_Lei_lei_0005,non-roadside,quiet,6613
Asch,AS_Lei_lei_0005,non-roadside,quiet,6628
Asch,AS_Lei_lei_0005,non-roadside,quiet,6410
Asch,AS_Lei_lei_0006,non-roadside,quiet,7602
Asch,AS_Lei_lei_0006,non-roadside,quiet,7472
Asch,AS_Lei_lei_0006,non-roadside,quiet,7760
Asch,AS_Lei_lei_0007,non-roadside,quiet,6841
Asch,AS_Lei_lei_0007,non-roadside,quiet,6725
Asch,AS_Lei_lei_0007,non-roadside,quiet,6994
Asch,AS_Lei_lei_0008,non-roadside,quiet,7058
Asch,AS_Lei_lei_0008,non-roadside,quiet,7010
Asch,AS_Lei_lei_0008,non-roadside,quiet,6914
BadE,BA_Lei_lei_0001,non-roadside,quiet,7457
BadE,BA_Lei_lei_0001,non-roadside,quiet,7445
BadE,BA_Lei_lei_0001,non-roadside,quiet,8295
BadE,BA_Lei_lei_0001,non-roadside,quiet,7369
BadE,BA_Lei_lei_0002,non-roadside,quiet,6517
BadE,BA_Lei_lei_0002,non-roadside,quiet,6687
BadE,BA_Lei_lei_0002,non-roadside,quiet,6478
BadE,BA_Lei_lei_0003,non-roadside,quiet,6904
BadE,BA_Lei_lei_0003,non-roadside,quiet,6980
BadE,BA_Lei_lei_0003,non-roadside,quiet,7068
BadE,BA_Lei_lei_0004,non-roadside,quiet,6203
BadE,BA_Lei_lei_0004,non-roadside,quiet,6089
BadE,BA_Lei_lei_0004,non-roadside,quiet,6065
BadE,BA_Lei_lei_0004,non-roadside,quiet,6246
